english_words,spanish_words
religion,religión
churches,iglesias
interesting places,lugares interesantes
other churches,otras iglesias
catholic churches,iglesias católicas
other temples,otros templos
towers,torres
palaces,palacios
architecture,arquitectura
fortifications,fortificaciones
historic,histórico
manor houses,casas señoriales
castles,castillos
other towers,otras torres
historic architecture,arquitectura histórica
monuments and memorials,monumentos y monumentos
destroyed objects,objetos destruidos
monuments,monumentos
accomodations,alojamiento
other hotels,Otros hoteles
other buildings and structures,otros edificios y estructuras
monasteries,monasterios
mountain peaks,picos de las montañas
geological formations,formaciones geológicas
natural,natural
battlefields,campos de batalla
historical places,lugares históricos
canyons,cañones
archaeology,arqueología
other archaeological sites,Otros sitios arqueológicos
bridges,puentes
other bridges,otros puentes
islands,islas
other islands,otras islas
hillforts,colinas
cemeteries,cementerios
burial places,Lugares de entierro
necropolises,necrópolis
farms,granjas
water,agua
waterfalls,cascadas
cultural,cultural
museums,museos
other museums,Otros museos
nature reserves,reservas naturales
other nature conservation areas,Otras áreas de conservación de la naturaleza
urban environment,ambiente urbano
installation,instalación
caves,cueva
shops,tiendas
bakeries,panaderías
tourist facilities,Instalaciones turísticas
restaurants,restaurantes
foods,alimentos
other lakes,otros lagos
fortified towers,torres fortificadas
historic settlements,asentamientos históricos
industrial facilities,instalaciones industriales
mills,fábrica
other,otro
unclassified objects,objetos no clasificados
historic object,objeto histórico
fountains,fuentes
sculptures,esculturas
defensive walls,paredes defensivas
theatres and entertainments,teatros y entretenimientos
other theatres,Otros teatros
bell towers,torres de campana
megaliths,megalitos
dolmens,dolmens
tourist object,objeto turístico
tumuluses,túmulos
squares,cuadrícula
cathedrals,catedrales
historic districts,distritos históricos
archaeological museums,museos arqueológicos
history museums,museos de historia
aquatic protected areas,áreas protegidas acuáticas
art galleries,galerías de arte
science museums,museos de ciencias
military museums,museos militares
gardens and parks,Jardines y parques
other burial places,Otros lugares de entierro
skyscrapers,rascacielos
factories,fábricas
other buildings,otros edificios
menhirs,menhirs
view points,puntos de vista
bars,barras
hostels,hostales
stone bridges,puentes de piedra
natural monuments,monumentos naturales
natural springs,resortes naturales
springs others,Spring Otros
settlements,asentamientos
cinemas,cines
nature reserves others,La naturaleza se reserva a los demás
guest houses,casas de huéspedes
dry lakes,lagos secos
beaches,playas
other beaches,Otras playas
sport,deporte
stadiums,estadios
aqueducts,acueductos
picnic site,sitio de picnic
salt lakes,lagos de sal
other fortifications,Otras fortificaciones
local museums,museos locales
canals,canales
cave paintings,pinturas rupestres
observation towers,torres de observación
mausoleums,mausoleums
footbridges,pasadas de pasos
egyptian temples,templos egipcios
national museums,museos nacionales
museums of science and technology,museos de ciencia y tecnología
aviation museums,museos de la aviación
open air museums,museos al aire libre
transmitter towers,torres transmisor
concert halls,Salas de conciertos
triumphal archs,arcos triunfales
viaducts,viaductos
war memorials,Memoriales de guerra
aquariums,acuarios
zoos,zoológico
synagogues,sinagogas
dams,presas
railway stations,Estaciones de tren
bank,banco
banks,bancos
watchtowers,vigilantes
biographical museums,museos biográficos
fish stores,tiendas de pescado
marketplaces,mercado
historic house museums,museos de la casa histórica
mineshafts,pozos de minas
clock towers,torres de reloj
wineries,bodas
lighthouses,faros
shingle beaches,playas de tejas
eastern orthodox churches,Iglesias ortodoxas del este
nude beaches,playas desnudas
nightclubs,clubes nocturnos
adult,adulto
music venues,locales de música
maritime museums,museos marítimos
climbing,escalada
golden sand beaches,playas de arena dorada
reservoirs,embalses
milestones,hitos
urbans beaches,playas urbanas
rocks beaches,playas de rocas
hindu temples,templos hindúes
mosques,mezquitas
buddhist temples,templos budistas
volcanoes,volcanes
national parks,parques Nacionales
opera houses,ópera
wall painting,pintura mural
power stations,centrales eléctricas
roman villas,villas romanas
baths and saunas,baños y saunas
saunas,saunas
amusements,diversiones
bunkers,bunkers
lagoons,lagunas
black sand beaches,playas de arena negra
white sand beaches,playas de arena blanca
hot springs,aguas termales
abandoned railway stations,estaciones de ferrocarril abandonadas
wildlife reserves,Reservas de vida silvestre
amphitheatres,anfiteatros
planetariums,planetario
casino,casino
supermarkets,supermercados
rock formations,formaciones rocosas
amusement parks,parques de diversiones
war graves,tumbas de guerra
crypts,criptas
glaciers,glaciares
cafes,cafés
malls,centros comerciales
moveable bridges,puentes móviles
roman bridges,puentes romanos
suspension bridges,puentes de suspensión
biergartens,biergartens
transport,transporte
fuel,combustible
rivers,ríos
diving,buceo
wrecks,naufragios
dive centers,centros de buceo
conveniences,comodidad
campsites,campamentos
pools,quinielas
sundials,reloj de sol
water towers,torres de agua
other amusement rides,Otros paseos de diversión
pubs,pubs
alpine hut,cabaña alpina
minarets,minarete
railway museums,museos ferroviarios
other technology museums,Otros museos de tecnología
outdoor,exterior
pyramids,pirámides
abandoned mineshafts,Mineafafts abandonados
thermal baths,baños termales
open air baths,baños al aire libre
crater lakes,lagos de cráter
children museums,museos de niños
children theatres,teatros para niños
circuses,circos
high islands,islas altas
water parks,Parques acuáticos
automobile museums,museos de automóviles
mints,mentas
fast food,comida rápida
roller coasters,montañas rusas
desert islands,Islas del Desierto
winter sports,Deportes de invierno
other winter sports,Otros deportes de invierno
resorts,resorts
villas and chalet,Villas y chalet
rune stones,runa
geysers,géiseros
fashion museums,museos de la moda
inland islands,Islas del Inland
apartments,apartamentos
surfing,surf